7d40b651-f425-4a44-b161-06c628522c5d 304 ::1 GET /admin/admin-dashboard 12.113 [Tue, 12 Oct 2021 12:31:13 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
8cc84da9-86d1-4673-870e-3407c2bf6110 200 ::1 GET /admin/admin-dashboard 33.218 [Tue, 12 Oct 2021 12:32:23 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
8fa06c8d-e4d2-4708-aef2-6bac8232867a 200 ::1 GET /admin/admin-dashboard 46.176 [Tue, 12 Oct 2021 12:36:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
a75ed0ab-d30c-453b-9e68-4b6f05ccc264 304 ::1 GET /admin/admin-dashboard 23.104 [Tue, 12 Oct 2021 12:36:07 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
78aab3de-edec-4879-bec8-f6eea6790cf2 200 ::1 GET /create-user 11.934 [Tue, 12 Oct 2021 12:36:10 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
0d506edf-4e68-4b1b-bf0d-7042fda59bef 200 ::1 GET /admin/admin-dashboard 38.385 [Tue, 12 Oct 2021 12:40:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
803d595c-f72a-4474-966b-88c3fe85b065 200 ::1 GET /admin/admin-dashboard 36.898 [Tue, 12 Oct 2021 12:45:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
c86d0755-64bb-4752-89ef-2e189fd7cf30 200 ::1 GET /admin/admin-dashboard 31.235 [Tue, 12 Oct 2021 12:46:17 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
19428243-cc35-4dcd-ae2a-dffe6c511040 200 ::1 GET /admin/admin-dashboard 25.683 [Tue, 12 Oct 2021 12:47:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
72b1cfb5-055b-4c69-bf47-b20765ddf59f 200 ::1 GET /create-user 20.504 [Tue, 12 Oct 2021 12:47:59 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
